Date,Series,Value
2018-01-27,Volume Intensity,0
2018-01-28,Volume Intensity,0
2018-01-29,Volume Intensity,0
2018-01-30,Volume Intensity,0
2018-01-31,Volume Intensity,0
2018-02-01,Volume Intensity,0
2018-02-02,Volume Intensity,0
2018-02-03,Volume Intensity,0
2018-02-04,Volume Intensity,0
2018-02-05,Volume Intensity,0
2018-02-06,Volume Intensity,0
2018-02-07,Volume Intensity,0
2018-02-08,Volume Intensity,0
2018-02-09,Volume Intensity,0
2018-02-10,Volume Intensity,0
2018-02-11,Volume Intensity,0
2018-02-12,Volume Intensity,0
2018-02-13,Volume Intensity,0
2018-02-14,Volume Intensity,0
2018-02-15,Volume Intensity,0
2018-02-16,Volume Intensity,0
2018-02-17,Volume Intensity,0
2018-02-18,Volume Intensity,0
2018-02-19,Volume Intensity,0
2018-02-20,Volume Intensity,0
2018-02-21,Volume Intensity,0
2018-02-22,Volume Intensity,0
2018-02-23,Volume Intensity,0
2018-02-24,Volume Intensity,0
2018-02-25,Volume Intensity,0
2018-02-26,Volume Intensity,0
2018-02-27,Volume Intensity,0
2018-02-28,Volume Intensity,0
2018-03-01,Volume Intensity,0
2018-03-02,Volume Intensity,0
2018-03-03,Volume Intensity,0
2018-03-04,Volume Intensity,0.0003
2018-03-05,Volume Intensity,0
2018-03-06,Volume Intensity,0
2018-03-07,Volume Intensity,0.0003
2018-03-08,Volume Intensity,0
2018-03-09,Volume Intensity,0
2018-03-10,Volume Intensity,0
2018-03-11,Volume Intensity,0
2018-03-12,Volume Intensity,0
2018-03-13,Volume Intensity,0
2018-03-14,Volume Intensity,0
2018-03-15,Volume Intensity,0
2018-03-16,Volume Intensity,0
2018-03-17,Volume Intensity,0
2018-03-18,Volume Intensity,0
2018-03-19,Volume Intensity,0
2018-03-20,Volume Intensity,0
2018-03-21,Volume Intensity,0
2018-03-22,Volume Intensity,0
2018-03-23,Volume Intensity,0
2018-03-24,Volume Intensity,0
2018-03-25,Volume Intensity,0
2018-03-26,Volume Intensity,0
2018-03-27,Volume Intensity,0.0002
2018-03-28,Volume Intensity,0
2018-03-29,Volume Intensity,0
2018-03-30,Volume Intensity,0
2018-03-31,Volume Intensity,0
2018-04-01,Volume Intensity,0
2018-04-02,Volume Intensity,0
2018-04-03,Volume Intensity,0
2018-04-04,Volume Intensity,0
2018-04-05,Volume Intensity,0
2018-04-06,Volume Intensity,0
2018-04-07,Volume Intensity,0
2018-04-08,Volume Intensity,0
2018-04-09,Volume Intensity,0
2018-04-10,Volume Intensity,0
2018-04-11,Volume Intensity,0
2018-04-12,Volume Intensity,0
2018-04-13,Volume Intensity,0.0002
2018-04-14,Volume Intensity,0
2018-04-15,Volume Intensity,0.0003
2018-04-16,Volume Intensity,0
2018-04-17,Volume Intensity,0
2018-04-18,Volume Intensity,0
